station_id,lat,lon
BCE-2D08,50.63333511,-116.9333344
BCE-2D11,49.25,-116.5
BCE-2D12,50.18333435,-117.5666656
BCE-2D13,50.23333359,-117.0500031
BCE-2E04,49.66666794,-118.9166641
BCE-2E04A,49.66666794,-118.9166641
BCE-2E05,49.54999924,-119.0500031
BCE-2E06,49.54999924,-118.5333328
BCE-2F01,49.73333359,-120.1833344
BCE-2F05,49.95000076,-118.9499969
BCE-2F15,50.06666565,-119.6666641
BCE-2F18,49.86666489,-119.9833298
BCE-2F22,49.88333511,-119.0666656
BCE-2G01A,49.28333282,-120.5833359
BCE-2G02,49.38333511,-120.0333328
BCE-2G02A,49.38333511,-120.0333328
BCE-2G03,49.09999847,-120.7666702
BCE-3A07,49.46666718,-123
BCE-3A08,49.40000153,-123.1833344
BCE-3A11,49.58333206,-123.0833359
BCE-3A13,51.59999847,-124.3333359
BCE-3A14,49.95000076,-123.0833359
BCE-3A15,49.36666489,-122.9499969
BCE-3A16,50.04999924,-123
BCE-3A17,51.34999847,-124.9666672
BCE-3A17P,51.34999847,-124.9666672
BCE-3A21,49.76666641,-123.0333328
BCE-3A22,51.21666718,-124.4166641
BCE-3A22A,51.25,-124.4499969
BCE-3A23P,51.53333282,-124.9000015
BCE-3B06,48.51666641,-123.8833313
BCE-3B12,48.86666489,-124.4666672
BCE-3B14,50.40000153,-126.0500031
BCE-3B16,49.04999924,-124.3333359
BCE-3B17,49.70000076,-125.6666641
BCE-3B20,49.29999924,-125.1500015
BCE-3B21,49.48333359,-125.4666672
BCE-3B22,49.54999924,-125.6333313
BCE-3B24,48.95666885,-124.4797211
BCE-3C02,52.51666641,-126.6333313
BCE-3C03,51.76666641,-126.0666656
BCE-3C04,54.25,-128.75
BCE-3C06,52.40000153,-127.5999985
BCE-3D01A,49.26666641,-121.2333298
BCE-3D01B,49.21666718,-121.2333298
BCE-3D03,49.13333511,-121.3166656
BCE-4A01,54.93333435,-122.8833313
BCE-4A08,57.66666794,-124.7166672
BCE-4A14,57.03333282,-122.5166702
BCE-4A17,55.78333282,-124.6999969
BCE-4A19,55.29999924,-123.1333313
BCE-4A19A,55.18000031,-123.0800018
BCE-4A22,55.23333359,-121.6166687
BCE-4A23,57.21666718,-121.4666672
BCE-4A24,56.73333359,-121.8000031
BCE-4A26,56,-122.1833344
BCE-4A27,57.61666489,-125.0666656
BCE-4A28,56.03333282,-122.0999985
BCE-4A29P,54.59999847,-122.1333313
BCE-4A31,55.09999847,-121.5166702
BCE-4B11,56.09999847,-129.6666718
BCE-4B12,56.21666718,-130.0666656
BCE-4B13,54.46666718,-128.5833282
BCE-4C04,59.31666565,-129.8333282
BCE-4C06,58.46666718,-125.3666687
BCE-4C07,59.65000153,-125.5333328
BCE-4C08,59.03333282,-125.9499969
BCE-4C09,59.25,-128.3166656
BCE-4C09P,59.25,-128.3166656
BCE-4C10,59.20000076,-127.1999969
BCE-4C11,58.53333282,-126.4499969
BCE-4C11P,58.53333282,-126.4499969
BCE-4C12,58.78333282,-125.3833313
BCE-4C13,57.98333359,-123.9166641
BCE-4C14,57.98333359,-127.5
BCE-4C14P,57.98333359,-127.5
BCE-4D03,58.81666565,-130.9166718
BCE-4D04,58.36666489,-131.2333374
BCE-4D05,57.91666794,-131.5833282
BCE-4D06,57.59999847,-132.3000031
BCE-4D07,57.36666489,-130.9666595
BCE-4D08,56.95000076,-130.7833405
BCE-4D08P,56.95000076,-130.7833405
BCE-4D09,56.56666565,-130.7166595
BCE-4D10,57.23333359,-129.7166595
BCE-4D11,57.56666565,-130.25
BCE-4D12,57.61666489,-129.0166626
BCE-4D13,57.23333359,-128.3166656
BCE-4D13P,57.23333359,-128.3166656
BCE-4D14,58.18333435,-128.8999939
BCE-4D14P,58.18333435,-128.8999939
BCE-4D15,56.70000076,-131.8333282
BCE-4E02A,59.56666565,-133.6999969
BCE-4E03,59.93333435,-136.8000031
BCE-AK03,58.15000153,-133.7166595
BCE-ID01,48.88333511,-116.75
BCE-MT01,48.96666718,-114.4166641
BCE-MT02,48.95000076,-114.7333298
BCE-MT03,48.36666489,-114.8666687
BCE-MT04,48.91666794,-115.3499985
BCE-MT05,48.56666565,-115.4499969
BCE-MT06,48.96666718,-115.9499969
BCE-WA01,48.70000076,-117.1833344
BCE-WA02,48.63333511,-117.5500031
BCE-WA03,48.84999847,-118.3666687
BCE-WA04,48.84999847,-118.3499985
BCE-WA05,48.86666489,-118.4000015
BCE-WA06,48.81666565,-118.2833328
BCE-WA07,48.66666794,-119.8666687
BCE-WA09,48.71666718,-120.6500015
BCE-WA10,48.86666489,-120.8499985
BCE-WA11,48.95000076,-120.9499969
BCE-WA12,48.91666794,-121.3000031
BCE-WA13,48.86666489,-121.4333344
BCE-WA14,48.86666489,-121.5999985
CHURCHILL-Anderson,52.02080154,-63.56760025
CHURCHILL-Churchill Falls,53.56666565,-64.1166687
CHURCHILL-Esker,53.86180115,-66.41249847
CHURCHILL-Fig West,53.20249939,-64.00589752
CHURCHILL-Kepimits,52.65420151,-64.84169769
CHURCHILL-Lac Joseph,52.9803009,-65.54370117
CHURCHILL-Lac Long,52.60599899,-63.85720062
CHURCHILL-Lobstick,53.83720016,-65.04129791
CHURCHILL-McKenzie,54.57550049,-65.53130341
CHURCHILL-McPhadyen,54.19520187,-67.14700317
CHURCHILL-Metchin,53.43830109,-63.26240158
CHURCHILL-Michikamats,54.56399918,-64.12200165
CHURCHILL-Orma,54.14550018,-63.18069839
CHURCHILL-Seahorse,52.16650009,-65.7358017
CHURCHILL-Simms,53.77500153,-65.81580353
CHURCHILL-Twin Falls,53.60169983,-64.59999847
CHURCHILL-Wabush,52.95330048,-66.68000031
ENB-001,45.18333435,-67.46666718
ENB-002,47.65000153,-65.69999695
ENB-005,46.54999924,-67.6333313
ENB-006,46.54999924,-67.6333313
ENB-009,46.28333282,-65.73332977
ENB-010,46.28333282,-65.73332977
ENB-011,48,-66.33333588
ENB-012,47.01666641,-65.43333435
ENB-013,47.26666641,-68.6166687
ENB-014,46.43333435,-65.08333588
ENB-015,47.23333359,-68.80000305
ENB-016,45.26666641,-66.81666565
ENB-017,45.26666641,-66.81666565
ENB-018,45.26666641,-66.81666565
ENB-019,47.23333359,-68.58333588
ENB-020,45.91666794,-66.6166687
ENB-024,47.20000076,-67.94999695
ENB-025,47.20000076,-67.08333588
ENB-027,47.45000076,-68.26667023
ENB-028,47.45000076,-68.26667023
ENB-031,46.29999924,-67.30000305
ENB-032,46.61666489,-68.18333435
ENB-033,46.61666489,-68.19999695
ENB-034,45.93333435,-67.98332977
ENB-035,47.88333511,-66.03333282
ENB-037,45.16666794,-66.48332977
ENB-039,46.93333435,-65.91666412
ENB-043,46.28333282,-67.01667023
ENB-044,46.06666565,-64.59999847
ENB-045,47.43333435,-66.91666412
ENB-046,46.28333282,-67.05000305
ENB-048,47.46666718,-65.66666412
ENB-049,45.58333206,-64.96666718
ENB-050,45.61666489,-65.05000305
ENB-052,46.15000153,-66.1166687
ENB-053,47.66666794,-67.43333435
ENB-054,46.04999924,-66.71666718
ENB-058A,46.93333435,-67.43333435
ENB-058B,46.93333435,-67.43333435
ENB-060,47.20000076,-68.94999695
ENB-061A,47.45000076,-68.40000153
ENB-061B,47.45000076,-68.40000153
ENB-066,45.73333359,-65.46666718
ENB-072,45.96666718,-64.8833313
ENB-073,47.84999847,-66.91666412
ENB-074,45.54999924,-67.48332977
ENB-076,45.5,-66.31666565
ENB-078,45.81700134,-65.43299866
ENB-080,45.65000153,-65.51667023
ENB-081,47.09999847,-69
ENB-082,46.63333511,-68.41666412
ENB-084,47.08333206,-68.23332977
ENB-085,46.36666489,-68.34999847
ENB-088,46.75,-68.48332977
ENB-089,46.06666565,-66.71666718
ENB-090,46.78333282,-68.15000153
ENB-100,46.95000076,-68.53333282
ENB-FA,45.99100113,-65.17199707
ENB-DDG,45.18000031,-66.95999908
ENB-UT,45.15000153,-66.76999664
INA-07OB01,60.83333206,-115.7833328
INA-07PA02,65.19999695,-126.5833359
INA-07PB01,60.03333282,-112.6999969
INA-07PC01,60.01666641,-114.9333344
INA-07QA02,60.29999924,-110.9333344
INA-07QB01,62.71666718,-109.1666641
INA-07QB02,62.33333206,-110.6500015
INA-07QC01,62.33333206,-107.2833328
INA-07QC04A,60.58333206,-109.9666672
INA-07QD04B,61.84999847,-108.3833313
INA-07QD04C,61.84999847,-108.3499985
INA-07SA06,64.76667023,-113.7666702
INA-07SA08,65.33333588,-113.5500031
INA-07TA01,63.09999847,-117.0999985
INA-10EA01,61.95000076,-128.25
INA-10ED02,61.46666718,-121.2333298
INA-10FA01,60.43333435,-121.2166672
